network.latency_steps,network.packet_loss_rate,protocol.name,metric,n,seed_count,mean,sample_sd,standard_error,ci95_low,ci95_high
1,0.0,greedy,risks_unresolved,3,3,0.0,0.0,0.0,0.0,0.0
1,0.0,greedy,modeled_maneuver_cost,3,3,160.0,0.0,0.0,160.0,160.0
1,0.0,greedy,messages_sent,3,3,8.0,0.0,0.0,8.0,8.0
1,0.0,greedy,messages_dropped,3,3,0.0,0.0,0.0,0.0,0.0
1,0.0,greedy,decision_deadline_misses,3,3,0.0,0.0,0.0,0.0,0.0
1,0.0,greedy,auction_successes,3,3,0.0,0.0,0.0,0.0,0.0
1,0.3,auction,resolution_probability,3,3,0.06666666666666667,0.11547005383792516,0.06666666666666668,-0.22020000000000006,0.35353333333333337
1,0.3,auction,risks_unresolved,3,3,0.6666666666666666,0.5773502691896257,0.3333333333333333,-0.7676666666666666,2.101
1,0.3,auction,modeled_maneuver_cost,3,3,26.666666666666668,46.18802153517006,26.666666666666668,-88.08,141.41333333333333
1,0.3,auction,messages_sent,3,3,16.666666666666668,7.371114795831994,4.255715111601235,-1.6456754585534483,34.979008791886784
1,0.3,auction,messages_dropped,3,3,6.666666666666667,0.5773502691896257,0.3333333333333333,5.232333333333334,8.101
1,0.3,auction,decision_deadline_misses,3,3,0.6666666666666666,0.5773502691896257,0.3333333333333333,-0.7676666666666666,2.101
1,0.3,auction,auction_successes,3,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,-1.101,1.7676666666666665
1,0.3,centralized,resolution_probability,3,3,0.2,0.2,0.11547005383792516,-0.29686764166459195,0.696867641664592
1,0.3,centralized,risks_unresolved,3,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,-1.101,1.7676666666666665
1,0.3,centralized,modeled_maneuver_cost,3,3,80.0,80.0,46.188021535170066,-118.7470566658368,278.7470566658368
1,0.3,centralized,messages_sent,3,3,8.333333333333334,0.5773502691896257,0.3333333333333333,6.899000000000001,9.767666666666667
1,0.3,centralized,messages_dropped,3,3,3.6666666666666665,1.1547005383792515,0.6666666666666666,0.798,6.535333333333333
1,0.3,centralized,decision_deadline_misses,3,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,-1.101,1.7676666666666665
1,0.3,centralized,auction_successes,3,3,0.0,0.0,0.0,0.0,0.0
1,0.3,greedy,resolution_probability,3,3,0.5119047619047619,0.23237168209456113,0.134159853209341,-0.06538508645503249,1.0891946102645562
1,0.3,greedy,risks_unresolved,3,3,0.6666666666666666,1.1547005383792515,0.6666666666666666,-2.202,3.535333333333333
1,0.3,greedy,modeled_maneuver_cost,3,3,186.66666666666666,46.18802153517006,26.666666666666668,71.91999999999999,301.4133333333333
1,0.3,greedy,messages_sent,3,3,10.0,3.4641016151377544,2.0,1.3940000000000001,18.606
1,0.3,greedy,messages_dropped,3,3,4.0,2.6457513110645907,1.5275252316519468,-2.5729410717983265,10.572941071798326
1,0.3,greedy,decision_deadline_misses,3,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,-1.101,1.7676666666666665
1,0.3,greedy,auction_successes,3,3,0.0,0.0,0.0,0.0,0.0
