auction_no_valid_bids,auction_successes,auction_timeouts,average_communication_latency_steps,benchmark,bids_expected,bids_received,conflicting_maneuver_intents,conjunctions_detected,coordination_attempts,cycles_completed,decision_deadline_misses,decision_to_execution_time_steps,decisions_completed_before_deadline,delta_v_per_resolved_conjunction,detection_to_decision_time_steps,duplicate_maneuver_proposals,estimated_fuel_used,execution_failures,experiment,experiment.seed,fallback_activations,maneuver_burden_gini,maneuver_count,maneuvers_executed,maneuvers_failed,maneuvers_proposed,maneuvers_rejected,messages_delayed_beyond_usefulness,messages_delivered,messages_dropped,messages_sent,minimum_post_maneuver_separation_km,minimum_pre_maneuver_separation_km,mission_disruption_cost,modeled_maneuver_cost,network.latency_steps,network.packet_loss_rate,original_conjunctions,outcome,peak_concurrent_open_risks,per_agent_maneuver_burden,per_agent_resource_consumption,planned_maneuvers,primary_risks_created,proposals_accepted,proposals_rejected,protocol,protocol.name,remaining_fuel_by_agent,resolution_probability,resolved_conjunctions,resource_exhaustion_events,risk_resolution_time_steps,risks_closed,risks_created,risks_expired,risks_resolved,risks_unresolved,run_id,runtime_seconds,safety_validation_failures,scenario,secondary_conjunctions_created,secondary_risks_created,seed,status,successful_agreements,timeouts,total_delta_v_used_km_per_step,total_simulated_resolution_time_steps,unresolved_conjunctions,unresolved_high_risk_conjunctions,worsened_conjunctions
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],3,,[],0,240.0,0,auction-network-faults-smoke,0,0,0.25,3,3,0,6,3,0,6,2,8,,,0.0,240.0,1,0.3,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 1, 'SAT-C': 1, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 0.0}",6,4,3,3,greedy,greedy,"{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 160.0}",0.75,3,0,"[2, 2, 2]",1,4,0,3,0,auction-network-faults-smoke-greedy-s0-9cb8238bc2,0.004957083845511079,3,auction-network-faults-smoke,0,0,0,resumed,3,0,240.0,18,0,0,0
2,1,0,1.0,spacecraft-campaign-v1,10,3,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,0,0,0.75,1,1,0,3,2,0,18,7,25,,,0.0,80.0,1,0.3,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s0-fcf9241663,0.006043375004082918,2,auction-network-faults-smoke,1,1,0,resumed,1,0,80.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],4,,[],0,320.0,0,auction-network-faults-smoke,1,0,0.375,4,4,0,4,0,0,8,0,8,,,0.0,320.0,0,0.0,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 1}","{'SAT-A': 160.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",4,3,4,0,centralized,centralized,"{'SAT-A': 0.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",1.0,4,0,"[1, 1, 1, 1]",0,4,0,4,0,auction-network-faults-smoke-centralized-s1-717f170c9e,0.0049764171708375216,0,auction-network-faults-smoke,1,1,1,resumed,4,0,320.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],4,,[],0,320.0,0,auction-network-faults-smoke,1,0,0.375,4,4,0,8,4,0,8,0,8,,,0.0,320.0,0,0.0,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 1, 'SAT-C': 1, 'SAT-D': 0}","{'SAT-A': 160.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 0.0}",8,3,4,4,greedy,greedy,"{'SAT-A': 0.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 160.0}",1.0,4,0,"[1, 1, 1, 1]",0,4,0,4,0,auction-network-faults-smoke-greedy-s1-307c5a65bc,0.006336332997307181,4,auction-network-faults-smoke,1,1,1,resumed,4,0,320.0,18,0,0,0
2,1,0,0.0,spacecraft-campaign-v1,10,6,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,1,0,0.75,1,1,0,3,2,0,27,0,27,,,0.0,80.0,0,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s1-aeda943b92,0.00797325000166893,2,auction-network-faults-smoke,1,1,1,resumed,1,0,80.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,5,0,18,0,[],2,,[],0,160.0,0,auction-network-faults-smoke,1,0,0.75,2,2,0,2,0,0,5,3,8,,,0.0,160.0,0,0.3,1,resolved,3,"{'SAT-A': 2, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 160.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",2,4,2,0,centralized,centralized,"{'SAT-A': 0.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.4,2,0,"[1, 1]",3,5,0,2,0,auction-network-faults-smoke-centralized-s1-018b4aa0d2,0.00396941602230072,0,auction-network-faults-smoke,1,1,1,resumed,2,0,160.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],3,,[],0,240.0,0,auction-network-faults-smoke,1,0,0.5833333333333334,3,3,0,5,2,0,5,3,8,,,0.0,240.0,0,0.3,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 1, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 160.0, 'SAT-B': 80.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",5,3,3,2,greedy,greedy,"{'SAT-A': 0.0, 'SAT-B': 80.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.75,3,0,"[1, 1, 1]",1,4,0,3,0,auction-network-faults-smoke-greedy-s1-6f3e647676,0.004744791891425848,2,auction-network-faults-smoke,1,1,1,resumed,3,0,240.0,18,0,0,0
0,0,1,0.0,spacecraft-campaign-v1,2,2,0,6,0,18,1,[],0,,[],0,0.0,0,auction-network-faults-smoke,1,0,0.0,0,0,0,0,0,0,5,6,11,,,0.0,0.0,0,0.3,1,unresolved,5,"{'SAT-A': 0, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 0.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",0,6,0,0,auction,auction,"{'SAT-A': 160.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.0,0,0,[],5,6,1,0,1,auction-network-faults-smoke-auction-s1-6531365ed7,0.0030919169075787067,0,auction-network-faults-smoke,0,0,1,resumed,0,1,0.0,18,1,1,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,5,0,18,0,[],3,,[],0,240.0,0,auction-network-faults-smoke,1,0,0.25,3,3,0,5,2,0,10,0,10,,,0.0,240.0,1,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 1}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",5,4,3,2,centralized,centralized,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",0.6,3,0,"[3, 3, 3]",2,5,0,3,0,auction-network-faults-smoke-centralized-s1-f5dcda85a2,0.005517957964912057,2,auction-network-faults-smoke,1,1,1,resumed,3,0,240.0,18,0,0,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],2,,[],0,160.0,0,auction-network-faults-smoke,1,0,0.5,2,2,0,8,6,0,8,0,8,,,0.0,160.0,1,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 1, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",8,4,2,6,greedy,greedy,"{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.5,2,0,"[2, 2]",2,4,0,2,0,auction-network-faults-smoke-greedy-s1-f176bad9ca,0.005873166956007481,6,auction-network-faults-smoke,0,0,1,resumed,2,0,160.0,18,0,0,0
